FF(X) 	 FF(Y) 	 FF(Z) 	 FS(X) 	 FS(Y) 	 FS(Z) 	 CD 	 CL 
-122.3764855053677	548.6857746937311	10671.011950041247	-122.37660729121146	548.6858649189637	10671.013807483912	0.011821429788577776	0.2817036668603846
-138.6585976786062	377.9354900343874	10078.557040248654	-138.65872333787416	377.9355581277707	10078.558791710875	0.010556282281947573	0.2660960169799069
-166.32140575026875	-114.21267509503508	7783.2397923609915	-166.3215410445372	-114.21266782296094	7783.241137150996	0.006589216249055615	0.2055781580534067
-166.1270976291431	-71.81826549885182	8018.423931739184	-166.1272323798929	-71.81825302254177	8018.425318389965	0.006926039025751396	0.2117826978452042
-164.39028870051297	19.86709461236481	8463.030269413273	-164.3904221857547	19.867118652579876	8463.03173560633	0.007598919824664489	0.2235102040897768
-164.7521113013743	4.998680256034675	8397.7455946918	-164.75224499536873	4.99870238146665	8397.747049129772	0.007497298462661678	0.22178832250823183
-165.1397743574065	-12.92515166505693	8317.434586621506	-165.13990829843112	-12.92513184158328	8317.436026610103	0.007373802684730036	0.21967004076910476
-165.07063155987044	-9.414816957766533	8333.110346786674	-165.07076545369438	-9.414796682466765	8333.111789600987	0.007397735468636157	0.22008351354594174
-165.00587741907933	-6.258659414534506	8347.17614135528	-165.00601127011052	-6.258638732877557	8347.177586702483	0.0074192818221902575	0.22045451712763225
-165.02209794506095	-7.051673475685135	8343.67170912606	-165.0222318068261	-7.051652896318814	8343.673153841206	0.007413911337370144	0.22036208330383134
-165.03340208571785	-7.5962372682317465	8341.251959661176	-165.03353595481556	-7.596216759054556	8341.253403940516	0.0074102003633058425	0.2202982595040586
-165.0299889654111	-7.427101351198317	8341.996703150311	-165.03012283232485	-7.4270808200137495	8341.998147563274	0.007411340773968193	0.22031790310162272
-165.02835498700338	-7.33468926670588	8342.405029678572	-165.02848885263734	-7.334668723686413	8342.40647416614	0.007411959773897629	0.2203286735902914
-165.0285335967718	-7.369817045741442	8342.252663773192	-165.0286674629197	-7.36979650715049	8342.254108230787	0.007411740169545455	0.22032465400446224
-165.0287301905472	-7.385030544930956	8342.186091781881	-165.02886405687264	-7.385010008386637	8342.187536228344	0.007411641091789671	0.22032289792684331
-165.02861195822032	-7.377985403531213	8342.210511190518	-165.02874582446643	-7.377964866071139	8342.2119556424	0.007411678651461856	0.2203235420122301
-165.02855016205677	-7.375515348452865	8342.225092769555	-165.02868402826644	-7.375494810681516	8342.226537223809	0.007411700847222093	0.22032392662781705
-165.02855765413727	-7.376659050492663	8342.222561153503	-165.0286915203544	-7.376638512880653	8342.224005607082	0.007411697079047638	0.22032385984728842
-165.02857936622175	-7.377262297250894	8342.218944900922	-165.02871323244827	-7.377241759712398	8342.22038935389	0.007411691405972238	0.2203237644710767
-165.0285789392707	-7.377131371128698	8342.218979147598	-165.02871280549718	-7.377110833570782	8342.220423600615	0.007411691465536836	0.22032376537399734
