FF(X) 	 FF(Y) 	 FF(Z) 	 FS(X) 	 FS(Y) 	 FS(Z) 	 CD 	 CL 
-122.3764855053677	548.6857746937311	10671.011950041247	-122.37660729121146	548.6858649189637	10671.013807483912	0.011821429788577776	0.2817036668603846
-138.65929563449149	377.92766791029254	10078.527510594431	-138.6594212939243	377.9277360026715	10078.529262051421	0.010556222220219067	0.26609523888960623
-166.3214350152424	-114.2334293630501	7783.099814864063	-166.3215703097985	-114.23342209337392	7783.1011596295375	0.006589018057061351	0.2055744650977287
-166.12739577106618	-71.83667757300935	8018.3065969287945	-166.12753052210184	-71.83666509884245	8018.307983559042	0.006925865674572908	0.2117796026459935
-164.39084695486213	19.854972891056306	8462.954861639339	-164.39098044034603	19.854996929886454	8462.956327819305	0.007598798743580966	0.22350821540963237
-164.75266816835787	4.984709462944849	8397.660744018272	-164.75280186261494	4.984731586757405	8397.662198441469	0.007497164100209231	0.22178608469609093
-165.14031338571954	-12.94122573673917	8317.338479122753	-165.14044732702922	-12.941205915149482	8317.33991909456	0.007373652916635726	0.2196675059453451
-165.07117205405535	-9.430303705570054	8333.017256770334	-165.07130594815771	-9.430283432079698	8333.018699568398	0.007397589917631232	0.22008105833385486
-165.00641872176135	-6.273634863177762	8347.085656266898	-165.0065525730654	-6.273614183265728	8347.087101598325	0.007419139923764264	0.2204521306419543
-165.02263997610345	-7.066820394518018	8343.580384061479	-165.02277383814317	-7.066799816918355	8343.581828760698	0.007413768235051717	0.2203596746582646
-165.0339444351127	-7.611496512681327	8341.160079745614	-165.0340783044866	-7.611476005285041	8341.161524008916	0.007410056470043792	0.22029583622042348
-165.03053115680746	-7.44231615392053	8341.905036243566	-165.0306650239968	-7.44229562451082	8341.906480640535	0.007411197185295611	0.22031548543753202
-165.02889699223144	-7.349881039564082	8342.31347597489	-165.0290308581406	-7.3498604983167795	8342.314920446488	0.007411816349794766	0.22032625891255062
-165.02907553339574	-7.385019708018717	8342.161058123467	-165.0292093998194	-7.384999171201343	8342.16250256508	0.00741159667398946	0.22032223795614306
-165.02927210368188	-7.400237675790436	8342.094464811167	-165.02940597028297	-7.400217141020427	8342.09590924164	0.007411497566782926	0.2203204813159839
-165.0291538854837	-7.39318996433326	8342.118894025549	-165.02928775200522	-7.393169428646829	8342.120338461445	0.007411535139912081	0.22032112566009338
-165.0290920793332	-7.390719033573902	8342.133481088575	-165.02922594581815	-7.390698497576565	8342.13492552684	0.007411557343670212	0.2203215104203494
-165.02909966301638	-7.391863268730532	8342.130947470221	-165.02923352950907	-7.3918427328923	8342.132391907811	0.007411553570255098	0.22032144358712344
-165.0291212749725	-7.392466748142766	8342.127330959309	-165.02925514147435	-7.392446212378111	8342.128775396284	0.0074115478994569925	0.2203213482039551
-165.02912086244675	-7.392335697763201	8342.12736489392	-165.02925472894887	-7.392315161979042	8342.12880933095	0.007411547958200902	0.22032134909866305
