FF(X) 	 FF(Y) 	 FF(Z) 	 FS(X) 	 FS(Y) 	 FS(Z) 	 CD 	 CL 
-122.55490273507611	577.8496415388805	10865.636506436571	-122.55502482594171	577.8497256174774	10865.638315940878	0.01208571349959894	0.28670814445837
-128.10895850188282	524.3956690981395	10689.064843777856	-128.10908171415633	524.3957466288697	10689.06662329727	0.01169033081927668	0.2820596406250049
-161.66775368588117	112.31395714854234	9161.31835148649	-161.6678845059329	112.31398629930177	9161.319864582298	0.00865165332681398	0.2418190734994518
-161.03484982709733	123.81723362016538	9208.18200044998	-161.03498048107778	123.81726412150628	9208.18352175814	0.00873440845662649	0.24305401253752168
-158.37443997758612	175.87069950701968	9399.444032374455	-158.37456991585785	175.87073629269148	9399.445587332439	0.009074192831762688	0.24809399220679226
-158.4910541737658	173.53027598742872	9391.490852758629	-158.49118414338187	173.53031248335722	9391.492406294257	0.009059905810635482	0.24788442500301153
-158.802840875598	167.08248674160367	9369.603325353177	-158.80297093036822	167.08252244113544	9369.604874993418	0.009020828308939391	0.2473076732350582
-158.78628993733025	167.42921973311067	9370.766928387815	-158.78641998757186	167.42925547573589	9370.768478236156	0.009022905132962998	0.24733833502941222
-158.7524273247031	168.1542827516324	9373.185101408115	-158.7525573655732	168.15431858432802	9373.186651688071	0.00902720708079811	0.2474020564156914
-158.7546847228383	168.1066016756996	9373.025858328157	-158.75481476432847	168.10663750246323	9373.027408579635	0.009026923062144067	0.2473978602328169
